NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S
 31011001;ARBAS;42.996500;0.908833;405;20230101;0.0;1;3.0;1;541;9;11.1;1;1459;9;7.3;1;7.1;1;8.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230102;6.0;1;6.0;1;511;9;12.1;1;844;9;8.5;1;9.1;1;6.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230103;0.8;1;7.1;1;706;9;10.7;1;1509;9;7.9;1;8.9;1;3.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230104;0.2;1;0.4;1;551;9;13.2;1;1305;9;4.4;1;6.8;1;12.8;1;;;;;8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230105;0.0;1;-1.0;1;409;9;15.0;1;1246;9;4.7;1;7.0;1;16.0;1;;;;;65;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230106;0.2;1;-1.6;1;706;9;13.4;1;1315;9;3.0;1;5.9;1;15.0;1;;;;;603;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230107;0.2;1;-2.9;1;700;9;14.8;1;1435;9;4.1;1;6.0;1;17.7;1;;;;;553;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230108;20.9;1;3.6;1;311;9;10.7;1;1732;9;7.3;1;7.2;1;7.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230109;5.0;1;6.0;1;918;9;9.5;1;1128;9;7.6;1;7.8;1;3.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 31011001;ARBAS;42.996500;0.908833;405;20230110;0.0;1;0.7;1;719;9;14.8;1;1331;9;5.5;1;7.8;1;14.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
